user_id,score,position,last_updated
3,9000,1,2024-08-10 00:02:29
4,8900,2,2024-08-11 15:20:33.340862
5,6500,3,2024-08-11 15:22:01.707172
6,6400,4,2024-08-11 15:22:23.123152
7,6300,5,2024-08-11 15:22:52.648711
8,6200,6,2024-08-11 15:23:43.564171
9,6100,7,2024-08-11 17:31:57.252809
10,6000,8,2024-08-11 17:32:24.162776
11,5900,9,2024-08-11 17:33:16.211708
13,5800,10,2024-08-11 17:33:37.587061
14,5700,11,2024-08-11 17:34:09.628995
15,5600,12,2024-08-11 17:34:36.441468
16,5500,13,2024-08-11 17:34:56.411310
17,5400,14,2024-08-11 17:37:11.862316
18,5300,15,2024-08-11 17:37:40.570842
19,5200,16,2024-08-11 17:38:10.817067
20,5100,17,2024-08-11 17:38:42.724760
21,5000,18,2024-08-11 17:39:07.693839
22,4900,19,2024-08-11 17:39:35.711757
23,4800,20,2024-08-11 17:40:02.329823
24,4700,21,2024-08-11 17:40:32.938743
25,4600,22,2024-08-11 17:41:12.201820
26,4500,23,2024-08-11 17:41:36.681934
27,4400,24,2024-08-11 17:41:57.819313
12,4000,25,2024-08-11 17:42:20.146174
